#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAC42	SPT6	3702.Q9C6C2	3702.A8MS85	0	0	0	0	0	0.741	0.091	0.556	0.886
AAC42	VIP6	3702.Q9C6C2	3702.B5X0I6	0	0	0	0	0.046	0.269	0.191	0.069	0.404
AAC42	LIG6	3702.Q9C6C2	3702.F4HPZ9	0	0	0	0	0.060	0.137	0.857	0.189	0.893
AAC42	GTC2	3702.Q9C6C2	3702.F4JME7	0	0	0	0	0.052	0.748	0.498	0.298	0.904
AAC42	RDM3	3702.Q9C6C2	3702.F4JW79	0	0	0	0	0	0.610	0.423	0.206	0.805
AAC42	NRPC1	3702.Q9C6C2	3702.F4JXF9	0.113	0	0	0	0.672	0.937	0.887	0.723	0.999
AAC42	TAF4B	3702.Q9C6C2	3702.F4K4L7	0	0	0	0	0	0.284	0.577	0.073	0.694
AAC42	MAH20.19	3702.Q9C6C2	3702.F4KB54	0	0	0	0	0	0.054	0.568	0	0.573
AAC42	H2AV	3702.Q9C6C2	3702.O23628	0	0	0	0	0.066	0.242	0.415	0.157	0.604
AAC42	NRPB4	3702.Q9C6C2	3702.O48890	0	0	0	0	0	0.788	0.593	0.737	0.975
AAC42	SUVR5	3702.Q9C6C2	3702.O64827	0	0	0	0	0	0.226	0.309	0.100	0.476
AAC42	F1N20.160	3702.Q9C6C2	3702.O65454	0	0	0	0	0	0.054	0.568	0	0.573
AAC42	F6I18.270	3702.Q9C6C2	3702.O65567	0	0	0	0	0	0.821	0.760	0.066	0.956
AAC42	F13P17.5	3702.Q9C6C2	3702.O80770	0	0	0	0	0	0.610	0.423	0.206	0.805
AAC42	NRPB8A	3702.Q9C6C2	3702.O81097	0	0	0	0	0.369	0.902	0.826	0.716	0.996
AAC42	DREB2A	3702.Q9C6C2	3702.O82132	0.046	0	0	0	0	0.305	0.208	0.060	0.440
AAC42	SPT16	3702.Q9C6C2	3702.O82491	0	0	0	0	0.052	0.748	0.498	0.322	0.907
AAC42	P5CSA	3702.Q9C6C2	3702.P54887	0	0	0	0	0.062	0	0	0.425	0.437
AAC42	HTR4	3702.Q9C6C2	3702.P59169	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	HTR2	3702.Q9C6C2	3702.P59226	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	F24B9.25	3702.Q9C6C2	3702.P59259	0	0	0	0	0	0.848	0.568	0.298	0.949
AAC42	SSRP1	3702.Q9C6C2	3702.Q05153	0	0	0	0	0.060	0.814	0.601	0.196	0.936
AAC42	NRPB11	3702.Q9C6C2	3702.Q38859	0	0	0	0	0.095	0.902	0.639	0.767	0.991
AAC42	NRPB3	3702.Q9C6C2	3702.Q39211	0	0	0	0.746	0.072	0.263	0.384	0.372	0.700
AAC42	NRPD3B	3702.Q9C6C2	3702.Q39212	0	0	0	0.740	0	0.263	0.384	0.384	0.696
AAC42	F8A5.14	3702.Q9C6C2	3702.Q39216	0	0	0.055	0.971	0.124	0	0.900	0.060	0.911
AAC42	NRPE1	3702.Q9C6C2	3702.Q5D869	0	0	0	0	0.411	0.686	0.705	0.622	0.976
AAC42	NRPD4	3702.Q9C6C2	3702.Q6DBA5	0	0	0	0	0	0.788	0.593	0.355	0.939
AAC42	NRPB9A	3702.Q9C6C2	3702.Q6NLH0	0	0	0	0	0.080	0.502	0.384	0.593	0.870
AAC42	TAF4	3702.Q9C6C2	3702.Q6SJR1	0	0	0	0	0	0.284	0.577	0.073	0.694
AAC42	K21L13.5	3702.Q9C6C2	3702.Q8GXR1	0	0	0	0	0	0.051	0.541	0.137	0.591
AAC42	NRPB9B	3702.Q9C6C2	3702.Q8L5V0	0	0	0	0	0.088	0.502	0.384	0.622	0.880
AAC42	MAH20.24	3702.Q9C6C2	3702.Q8LCQ3	0	0	0	0	0.081	0.782	0.592	0.289	0.934
AAC42	NRPB10	3702.Q9C6C2	3702.Q8LFJ6	0.118	0	0	0	0.544	0.898	0.826	0.752	0.997
AAC42	HTR12	3702.Q9C6C2	3702.Q8RVQ9	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	EMB1674	3702.Q9C6C2	3702.Q8RWD7	0	0	0	0	0.117	0.624	0.459	0.231	0.843
AAC42	F16J13.140	3702.Q9C6C2	3702.Q94B03	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	SPT42	3702.Q9C6C2	3702.Q94C60	0	0	0	0	0.081	0.782	0.592	0.289	0.934
AAC42	HAG1	3702.Q9C6C2	3702.Q9AR19	0	0	0	0	0	0.051	0.541	0.137	0.591
AAC42	HMGB6	3702.Q9C6C2	3702.Q9SUP7	0	0	0	0	0	0.207	0.301	0	0.421
AAC42	HMGB15	3702.Q9C6C2	3702.Q9MAT6	0	0	0	0	0	0.207	0.301	0.123	0.471
AAC42	HMGB10	3702.Q9C6C2	3702.Q9LTT3	0	0	0	0	0	0.207	0.301	0.123	0.471
AAC42	HMGB9	3702.Q9C6C2	3702.Q9SGS2	0	0	0	0	0	0.207	0.301	0.123	0.471
AAC42	HMGB11	3702.Q9C6C2	3702.Q9LG02	0	0	0	0	0	0.207	0.301	0.123	0.471
AAC42	NF-YB11	3702.Q9C6C2	3702.Q9ZQH2	0	0	0	0	0.065	0.166	0.406	0	0.496
AAC42	TTL1	3702.Q9C6C2	3702.Q9MAH1	0.078	0	0	0	0.046	0.269	0.330	0.118	0.550
AAC42	HTA4	3702.Q9C6C2	3702.Q9T0H7	0	0	0	0	0.066	0.242	0.415	0.157	0.604
AAC42	HTA9	3702.Q9C6C2	3702.Q9C944	0	0	0	0	0.066	0.242	0.415	0.157	0.604
AAC42	HTA8	3702.Q9C6C2	3702.Q9SII0	0	0	0	0	0.075	0.242	0.415	0.157	0.608
AAC42	HTR11	3702.Q9C6C2	3702.Q9FKQ3	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	T5J17.190	3702.Q9C6C2	3702.Q9SMQ3	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	T24H18.80	3702.Q9C6C2	3702.Q9LXU8	0	0	0	0	0.058	0.415	0.307	0.115	0.616
